MODEL_NAME	TASK_TYPE	TIME(S)	BIN_SIZE/START_POINT
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.0035_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	769.15	G_1_3
StSI_5I_N-5x1400_sam-4x0-1x20_m_-4.0492_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	694.2	G_1_4
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.0035_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	765.27	G_1_3
StSI_10I_N-10x1400_sam-9x0-1x20_m_-2.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	930.97	G_1_2
StSI_5I_N-5x1400_sam-4x0-1x20_m_-4.0492_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	44.51	G_1_5
StSI_10I_N-10x1400_sam-9x0-1x20_m_-2.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1017.07	G_1_2
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	821.69	G_1_3
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	730.45	G_1_1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	670.53	G_1_1
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1238.8	G_1_2
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.5498_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1078.19	G_1_2
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.5498_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	930.26	G_1_2
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.328_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1182.5	G_1_2
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1206.72	G_1_1
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.2253_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	865.02	G_1_3
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	773.23	G_1_3
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.8731_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	708.3	G_1_3
