MODEL_NAME	TASK_TYPE	TIME(S)	BIN_SIZE/START_POINT
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.7259_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	953.37	G_1_10
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.7259_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	8094.045857191086	ALL_RUN
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	913.74	G_1_2
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	709.29	G_1_10
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	8461.030779123306	ALL_RUN
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1432.99	G_1_9
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.9613_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1106.31	G_1_5
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	830.42	G_1_8
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	791.3	G_1_9
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	994.97	G_1_7
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.2253_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	968.94	G_1_9
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.328_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1142.14	G_1_8
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.8731_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	838.93	G_1_10
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.8731_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	8671.155902147293	ALL_RUN
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.2253_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	879.58	G_1_10
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.2253_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	8544.321302175522	ALL_RUN
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	914.93	G_1_9
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	51.03	G_1_10
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	8768.62848830223	ALL_RUN
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	961.19	G_1_8
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1122.89	G_1_8
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.5498_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1137.89	G_1_8
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.8731_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	901.87	G_1_9
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	720.98	G_1_10
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	7184.1248524188995	ALL_RUN
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.9613_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1381.85	G_1_5
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	729.06	G_1_10
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	7125.372247934341	ALL_RUN
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	904.39	G_1_10
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	8999.236101150513	ALL_RUN
StSI_10I_N-10x1400_sam-9x0-1x20_m_-2.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	876.8	G_1_8
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.7394_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	791.91	G_1_8
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.7394_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	864.9	G_1_8
StSI_10I_N-10x1400_sam-9x0-1x20_m_-2.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1554.86	G_1_8
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1098.6	G_1_6
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.5498_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1040.88	G_1_8
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	955.16	G_1_3
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.328_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	896.54	G_1_10
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.328_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	8884.751145362854	ALL_RUN
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	996.38	G_1_7
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	898.43	G_1_8
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	786.03	G_1_10
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	9178.550408124924	ALL_RUN
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1192.2	G_1_8
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	887.95	G_1_8
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1051.23	G_1_3
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	939.53	G_1_9
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.2253_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	924.88	G_1_10
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.2253_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	9361.73848772049	ALL_RUN
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	990.54	G_1_10
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	9384.449507951736	ALL_RUN
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.328_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	965.39	G_1_9
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.9613_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1065.87	G_1_6
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	863.86	G_1_9
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	913.71	G_1_9
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.5498_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	872.23	G_1_9
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.7394_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	786.69	G_1_9
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.8731_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	883.15	G_1_10
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.8731_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	9801.59715795517	ALL_RUN
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.9613_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	892.51	G_1_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.7394_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	761.11	G_1_9
StSI_10I_N-10x1400_sam-9x0-1x20_m_-2.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	970.08	G_1_9
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	981.18	G_1_7
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.5498_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1096.53	G_1_9
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	999.25	G_1_9
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1104.49	G_1_4
StSI_10I_N-10x1400_sam-9x0-1x20_m_-2.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1169.12	G_1_9
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1141.76	G_1_8
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1042.93	G_1_4
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.9613_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1072.4	G_1_7
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1239.05	G_1_9
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1327.35	G_1_9
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1330.65	G_1_10
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	10625.637533903122	ALL_RUN
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.328_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1271.65	G_1_10
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.328_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	10528.317722558975	ALL_RUN
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.9613_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1055.69	G_1_7
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.7394_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1144.65	G_1_10
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.7394_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	9040.316497564316	ALL_RUN
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.7394_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1102.34	G_1_10
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.7394_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	8944.547859430313	ALL_RUN
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1210.56	G_1_10
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	10780.3074593544	ALL_RUN
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1299.49	G_1_10
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	10620.031047582626	ALL_RUN
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.5498_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1319.05	G_1_10
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.5498_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	10494.418733596802	ALL_RUN
StSI_10I_N-10x1400_sam-9x0-1x20_m_-2.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1329.64	G_1_10
StSI_10I_N-10x1400_sam-9x0-1x20_m_-2.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	10804.068175554276	ALL_RUN
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1134.21	G_1_5
StSI_10I_N-10x1400_sam-9x0-1x20_m_-2.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1185.25	G_1_10
StSI_10I_N-10x1400_sam-9x0-1x20_m_-2.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	11014.966552972794	ALL_RUN
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.5498_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1210.98	G_1_10
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.5498_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	10884.007859230042	ALL_RUN
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1353.08	G_1_8
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1313.13	G_1_10
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	10223.248611211777	ALL_RUN
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1291.14	G_1_9
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1184.51	G_1_5
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	972.52	G_1_10
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	11329.298704624176	ALL_RUN
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.9613_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1097.57	G_1_8
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1180.54	G_1_10
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	10497.721598386765	ALL_RUN
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.9613_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1118.52	G_1_8
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	845.4	G_1_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	865.0	G_1_9
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	817.47	G_1_10
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	10232.36846113205	ALL_RUN
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	901.36	G_1_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.9613_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1110.13	G_1_9
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.9613_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	996.11	G_1_9
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	986.98	G_1_7
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	880.55	G_1_7
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1157.2	G_1_10
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	11167.477474927902	ALL_RUN
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.9613_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	897.59	G_1_10
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.9613_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	10638.06370306015	ALL_RUN
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.9613_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	921.91	G_1_10
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.9613_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	10710.273634195328	ALL_RUN
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1026.73	G_1_8
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	920.91	G_1_8
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	921.37	G_1_9
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	979.46	G_1_9
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	954.71	G_1_10
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	9869.993669509888	ALL_RUN
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	928.06	G_1_10
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	9762.85812163353	ALL_RUN
